STATE	TAX	COST OF LIVING	SALARY
New York	13.72	135.7	118450
Mississippi	12.21	85.7	117300
Massachusetts	11.61	133.8	115000
California	8.77	138.7	114500
Georgia	10.54	91.2	110400
Connecticut	13.85	128.8	109250
New Jersey	12.87	122.5	106950
Illinois	14.89	95.7	105800
Alabama	9.4	89.5	104500
Montana	7.29	104.0	103250
Indiana	11.86	90.1	102100
Rhode Island	13.69	122.5	101800
Virginia	10.87	102.0	101200
Maryland	11.96	131.3	100800
Hawaii	10.33	190.1	100750
North Carolina	10.64	94.0	100500
Arkansas	12.3	88.4	100450
Missouri	11.28	88.8	100100
West Virginia	10.39	94.7	99550
New Hampshire	10.27	109.3	98900
Michigan	12.81	89.3	97750
Washington	11.68	109.5	96600
Tennessee	7.98	89.5	96150
Ohio	13.09	92.8	95850
Oregon	9.2	131.2	95550
Florida	8.83	98.9	95250
Texas	11.04	91.3	94450
Iowa	12.92	91.8	94300
Vermont	11.04	118.7	94200
North Dakota	9.84	98.7	94000
Delaware	6.11	106.0	93400
Nevada	7.44	108.3	93150
Wyoming	7.45	90.5	92850
Oklahoma	10.75	88.1	92000
Kansas	12.42	89.7	91450
New Mexico	10.82	92.8	90850
South Carolina	9.02	98.3	90550
Minnesota	11.57	101.5	90150
Maine	11.75	117.2	89700
Wisconsin	13.62	95.8	88550
Kentucky	12.06	91.8	87850
Pennsylvania	12.45	98.6	87100
Arizona	9.5	97.7	86200
Utah	9.23	98.2	85950
Colorado	9.27	105.5	85550
Louisiana	10.39	93.6	84100
Alaska	5.67	130.6	83400
Idaho	8.48	94.2	82800
Nebraska	13.83	93.3	81650
South Dakota	9.75	98.5	78200
